n_samples,n_clusters,silhouette,calinski_harabasz,davies_bouldin,inertia,cluster_sizes,min_cluster_size,max_cluster_size,K
6522,3,0.2557324522271976,2281.556754122164,1.468749549889176,61865.96505455995,"{0: 2430, 1: 1182, 2: 2910}",1182,2910,3
6522,4,0.2363933541049587,1980.5991935770435,1.5156278345384735,55016.97215876104,"{0: 2060, 1: 1484, 2: 1810, 3: 1168}",1168,2060,4
6522,5,0.25488388268004153,1989.0877593900516,1.3985968199597676,47355.66521359944,"{0: 2072, 1: 1475, 2: 1766, 3: 685, 4: 524}",524,2072,5
6522,6,0.2386137938888646,1839.8616347247757,1.41049779805864,43606.52609119653,"{0: 1053, 1: 935, 2: 1466, 3: 675, 4: 511, 5: 1882}",511,1882,6
6522,7,0.21519398702793366,1673.59905073482,1.4649086661837576,41384.40629499417,"{0: 835, 1: 833, 2: 1034, 3: 671, 4: 509, 5: 1788, 6: 852}",509,1788,7
6522,8,0.19979161313165308,1487.4231535681665,1.5398085400415527,40475.093241044626,"{0: 233, 1: 816, 2: 1263, 3: 1239, 4: 653, 5: 881, 6: 919, 7: 518}",233,1263,8
